한자단어,빈도
總督,3
効,3
陞,2
為,2
河南,2
所,2
之,2
兵部,2
係,2
不,2
各官,2
大小,2
以致,2
兵民,2
副,2
鄭,2
勷,2
蒙古,2
六月,1
丙辰,1
朔以,1
任,1
福建,1
朱昌祚,1
直隸,1
山東,1
三省,1
癸丑,1
戶部議,1
覆,1
平西王,1
吳三桂,1
疏言偽,1
總兵羅大順,1
投誠其,1
原管,1
地方,1
應,1
編入,1
貴州,1
新添,1
衛,1
土田,1
照例,1
科糧應,1
如,1
請,1
從,1
丁巳,1
諭,1
吏部,1
巡撫,1
提督,1
總兵,1
等,1
官,1
文武官,1
員,1
表率,1
管理,1
軍民錢,1
穀,1
刑名,1
事務責任,1
重大,1
果能,1
公忠體,1
國潔己,1
愛民不受,1
賄賂,1
聽囑,1
託,1
嚴飭,1
所屬,1
各,1
公忠共,1
襄化,1
理則,1
自應,1
悔改,1
前,1
非力,1
圖,1
修治,1
凡,1
地丁,1
錢,1
糧,1
俱,1
額,1
徵該,1
管官,1
妄行,1
私派,1
及,1
額外,1
苛索,1
小民,1
苦累,1
至極,1
至於,1
兵丁,1
按,1
月,1
支餉,1
亦,1
受侵,1
剋,1
之累,1
近者,1
水旱,1
災異,1
屢見,1
困苦,1
總由,1
文武,1
各官止,1
圖利,1
其,1
身家,1
而,1
於,1
書吏,1
衙役,1
肆行,1
侵漁并,1
不能,1
嚴禁,1
所致,1
以後務須,1
奉公,1
潔己,1
撫恤兵,1
民革,1
除舊,1
弊以,1
委任,1
之意,1
若,1
仍,1
改前,1
非,1
復,1
蹈,1
故轍,1
不得其所,1
必從重,1
治罪,1
宣武,1
衛世襲,1
一等,1
阿達,1
哈哈,1
番,1
國疏言,1
乞錄,1
功臣,1
後,1
裔,1
敕,1
部試,1
用,1
議向,1
無襲,1
職入,1
衛之員,1
自請,1
敘用,1
之例,1
不准,1
所請,1
得,1
旨,1
國自願,1
力著照,1
請行,1
又,1
此等,1
有世職,1
官員願,1
力者爾部,1
酌量,1
具奏,1
錄用,1
鑲,1
藍旗,1
都,1
統誇,1
岱,1
都統,1
위기,0
