한자단어,빈도
餘里,3
有,3
渾河,2
太子河,2
根源,2
砍,2
自此,2
俱,2
閏,1
六月,1
辛丑,1
朔,1
奉天,1
將軍,1
伊巴,1
漢等議,1
覆臣,1
等,1
遵旨,1
差官,1
三路,1
勘驗,1
應,1
木植,1
之山及,1
所,1
之木離,1
水路,1
遠近,1
情形,1
據稱,1
杉木,1
廠木植離,1
三十,1
栗家口,1
哈爾山,1
索爾,1
擴木植離,1
蘇子河,1
六十,1
運至界,1
凡方入,1
又,1
納魯窩濟,1
內,1
小河,1
五道,1
此河,1
兩邊,1
山上,1
木植離,1
納魯河,1
二十,1
運至,1
杭家,1
方入,1
渾河此,1
兩河,1
如運放木植,1
可,1
入海,1
應遍,1
行曉諭,1
八旗,1
並府,1
州,1
縣,1
有情,1
願至,1
天津,1
貿易者,1
該,1
部給,1
發執,1
照准,1
其貿易,1
借此,1
來,1
帶,1
禁物,1
偷打,1
貂鼠,1
私,1
刨,1
人,1
參等物者,1
嚴行,1
禁止,1
從,1
之,1
旌表,1
山東,1
濮州,1
孝子,1
祁三奇給,1
銀建坊,1
如例,1
庚子,1
以天氣,1
亢旱,1
上命,1
建壇,1
祈禱,1
是,1
日,1
甘霖,1
大沛,1
癸卯,1
上詣,1
太皇太后,1
行宮,1
問安,1
위기,0
